x,y
9.20E-01,2.40E-01
9.20E-01,1.60E-01
8.80E-01,1.60E-01
9.20E-01,1.60E-01
9.20E-01,1.60E-01
9.60E-01,1.60E-01
9.60E-01,1.60E-01
9.20E-01,1.60E-01
8.80E-01,1.60E-01
9.60E-01,1.60E-01
9.60E-01,1.60E-01
9.60E-01,1.60E-01
1,1.60E-01
1,1.60E-01
9.60E-01,1.60E-01
1,1.60E-01
1,1.60E-01
1,1.60E-01
1,1.60E-01
1,1.60E-01
1,1.60E-01
1,1.60E-01
1,1.60E-01
1.04,1.60E-01
1,1.60E-01
1.04,8.00E-02
1,1.60E-01
1.04,1.60E-01
1.04,1.60E-01
1.04,1.60E-01
1.04,1.60E-01
1.04,1.60E-01
1.04,1.60E-01
1.04,1.60E-01
1.0799999,8.00E-02
1.0799999,8.00E-02
1.0799999,1.60E-01
1.0799999,8.00E-02
1.12,8.00E-02
1.0799999,8.00E-02
1.0799999,1.60E-01
1.12,8.00E-02
1.16,8.00E-02
1.12,8.00E-02
1.16,1.60E-01
1.12,8.00E-02
1.16,8.00E-02
1.1999999,8.00E-02
1.16,8.00E-02
1.16,1.60E-01
1.1999999,8.00E-02
1.16,8.00E-02
1.1999999,8.00E-02
1.24,8.00E-02
1.16,8.00E-02
1.16,8.00E-02
1.24,8.00E-02
1.1999999,8.00E-02
1.1999999,8.00E-02
1.1999999,8.00E-02
1.1999999,8.00E-02
1.24,8.00E-02
1.24,8.00E-02
1.24,8.00E-02
1.28,8.00E-02
1.24,8.00E-02
1.24,8.00E-02
1.1999999,8.00E-02
1.28,8.00E-02
1.28,8.00E-02
1.3199999,8.00E-02
1.28,8.00E-02
1.28,8.00E-02
1.3199999,8.00E-02
1.28,8.00E-02
1.3199999,8.00E-02
1.28,1.60E-01
1.3199999,8.00E-02
1.36,0
1.3199999,8.00E-02
1.36,8.00E-02
1.3199999,1.60E-01
1.36,8.00E-02
1.36,8.00E-02
1.36,0
1.36,8.00E-02
1.4,0
1.36,8.00E-02
1.4,8.00E-02
1.36,0
1.4399999,8.00E-02
1.4,8.00E-02
1.4,0
1.4,1.60E-01
1.4399999,8.00E-02
1.4,8.00E-02
1.4399999,8.00E-02
1.4399999,8.00E-02
1.4399999,8.00E-02
1.4399999,8.00E-02
1.48,8.00E-02
1.4399999,8.00E-02
1.48,8.00E-02
1.48,8.00E-02
1.4399999,8.00E-02
1.48,0
1.48,8.00E-02
